	0	1	2	3
703	COG0650		C	Energy production and conversion
704	COG0651		C	Energy production and conversion
705	COG0651		P	Inorganic ion transport and metabolism
706	COG0652		O	Posttranslational modification, protein turnover, chaperones
707	COG0653		U	Intracellular trafficking, secretion, and vesicular transport
708	COG0654	Ubiquinone biosynthesis	H	Coenzyme transport and metabolism
709	COG0654	Ubiquinone biosynthesis	C	Energy production and conversion
710	COG0655		C	Energy production and conversion
711	COG0656		Q	Secondary metabolites biosynthesis, transport and catabolism
712	COG0657		I	Lipid transport and metabolism
713	COG0658		U	Intracellular trafficking, secretion, and vesicular transport
714	COG0659		P	Inorganic ion transport and metabolism
715	COG0661	Ubiquinone biosynthesis	H	Coenzyme transport and metabolism
716	COG0661	Ubiquinone biosynthesis	T	Signal transduction mechanisms
717	COG0662		G	Carbohydrate transport and metabolism
718	COG0663		R	General function prediction only
719	COG0664		T	Signal transduction mechanisms
720	COG0665		E	Amino acid transport and metabolism
721	COG0666		T	Signal transduction mechanisms
722	COG0667		H	Coenzyme transport and metabolism
723	COG0667		R	General function prediction only
724	COG0668		M	Cell wall/membrane/envelope biogenesis
725	COG0669	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
726	COG0670		P	Inorganic ion transport and metabolism
727	COG0671	Phospholipid biosynthesis	I	Lipid transport and metabolism
728	COG0672		P	Inorganic ion transport and metabolism
729	COG0673		R	General function prediction only
730	COG0674	Pyruvate oxidation	C	Energy production and conversion
731	COG0675		X	Mobilome: prophages, transposons
732	COG0676		G	Carbohydrate transport and metabolism
733	COG0677		M	Cell wall/membrane/envelope biogenesis
734	COG0678		O	Posttranslational modification, protein turnover, chaperones
735	COG0679		R	General function prediction only
736	COG0680		C	Energy production and conversion
737	COG0681		U	Intracellular trafficking, secretion, and vesicular transport
738	COG0682		M	Cell wall/membrane/envelope biogenesis
739	COG0683		E	Amino acid transport and metabolism
740	COG0684		J	Translation, ribosomal structure and biogenesis
741	COG0685		E	Amino acid transport and metabolism
742	COG0686	Urea cycle	E	Amino acid transport and metabolism
743	COG0687		E	Amino acid transport and metabolism
744	COG0688	Phospholipid biosynthesis	I	Lipid transport and metabolism
745	COG0689		J	Translation, ribosomal structure and biogenesis
746	COG0690		U	Intracellular trafficking, secretion, and vesicular transport
747	COG0691		O	Posttranslational modification, protein turnover, chaperones
748	COG0692		L	Replication, recombination and repair
749	COG0693		V	Defense mechanisms
750	COG0694		O	Posttranslational modification, protein turnover, chaperones
751	COG0695		O	Posttranslational modification, protein turnover, chaperones
752	COG0696	Glycolysis	G	Carbohydrate transport and metabolism
753	COG0697		G	Carbohydrate transport and metabolism
754	COG0697		E	Amino acid transport and metabolism
755	COG0697		R	General function prediction only
756	COG0698	Pentose phosphate pathway	G	Carbohydrate transport and metabolism
757	COG0699		L	Replication, recombination and repair
758	COG0700		S	Function unknown
759	COG0701		S	Function unknown
760	COG0702		R	General function prediction only
761	COG0703	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
762	COG0704		P	Inorganic ion transport and metabolism
763	COG0705		O	Posttranslational modification, protein turnover, chaperones
764	COG0706		M	Cell wall/membrane/envelope biogenesis
765	COG0707	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
766	COG0708		L	Replication, recombination and repair
767	COG0709		E	Amino acid transport and metabolism
768	COG0710	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
769	COG0711	FoF1-type ATP synthase	C	Energy production and conversion
770	COG0712	FoF1-type ATP synthase	C	Energy production and conversion
771	COG0713	NADH dehydrogenase	C	Energy production and conversion
772	COG0714	Cobalamine/B12 biosynthesis	R	General function prediction only
773	COG0715		P	Inorganic ion transport and metabolism
774	COG0716	Heme biosynthesis	C	Energy production and conversion
775	COG0717	Thymidylate biosynthesis	F	Nucleotide transport and metabolism
776	COG0718		K	Transcription
777	COG0719		O	Posttranslational modification, protein turnover, chaperones
778	COG0720	tRNA modification	H	Coenzyme transport and metabolism
779	COG0721	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
780	COG0722	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
781	COG0723		C	Energy production and conversion
782	COG0724		J	Translation, ribosomal structure and biogenesis
783	COG0725	Molybdopterin biosynthesis	P	Inorganic ion transport and metabolism
784	COG0726		G	Carbohydrate transport and metabolism
785	COG0726		M	Cell wall/membrane/envelope biogenesis
786	COG0727		R	General function prediction only
787	COG0728		M	Cell wall/membrane/envelope biogenesis
788	COG0729		M	Cell wall/membrane/envelope biogenesis
789	COG0730		P	Inorganic ion transport and metabolism
790	COG0731	tRNA modification	J	Translation, ribosomal structure and biogenesis
791	COG0732		V	Defense mechanisms
792	COG0733		R	General function prediction only
793	COG0735		P	Inorganic ion transport and metabolism
794	COG0736		I	Lipid transport and metabolism
795	COG0737		F	Nucleotide transport and metabolism
796	COG0737		V	Defense mechanisms
797	COG0738		G	Carbohydrate transport and metabolism
798	COG0739		M	Cell wall/membrane/envelope biogenesis
799	COG0740		O	Posttranslational modification, protein turnover, chaperones
800	COG0741		M	Cell wall/membrane/envelope biogenesis
801	COG0742	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
802	COG0743	Isoprenoid biosynthesis	I	Lipid transport and metabolism
803	COG0744		M	Cell wall/membrane/envelope biogenesis
804	COG0745		T	Signal transduction mechanisms
805	COG0745		K	Transcription
806	COG0746	Molybdopterin biosynthesis	H	Coenzyme transport and metabolism
807	COG0747		E	Amino acid transport and metabolism
808	COG0748		P	Inorganic ion transport and metabolism
809	COG0749		L	Replication, recombination and repair
810	COG0750		O	Posttranslational modification, protein turnover, chaperones
811	COG0750		K	Transcription
812	COG0751	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
813	COG0752	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
814	COG0753		P	Inorganic ion transport and metabolism
815	COG0754		E	Amino acid transport and metabolism
816	COG0755		O	Posttranslational modification, protein turnover, chaperones
817	COG0756	Thymidylate biosynthesis	F	Nucleotide transport and metabolism
818	COG0756	Thymidylate biosynthesis	V	Defense mechanisms
819	COG0757	Aromatic amino acid biosynthesis	E	Amino acid transport and metabolism
820	COG0758		L	Replication, recombination and repair
821	COG0759		M	Cell wall/membrane/envelope biogenesis
822	COG0760		O	Posttranslational modification, protein turnover, chaperones
823	COG0761	Isoprenoid biosynthesis	I	Lipid transport and metabolism
824	COG0762		O	Posttranslational modification, protein turnover, chaperones
825	COG0763	Lipid A biosynthesis	M	Cell wall/membrane/envelope biogenesis
826	COG0764	Fatty acid biosynthesis	I	Lipid transport and metabolism
827	COG0765		E	Amino acid transport and metabolism
828	COG0766	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
829	COG0767		M	Cell wall/membrane/envelope biogenesis
830	COG0768		D	Cell cycle control, cell division, chromosome partitioning
831	COG0768		M	Cell wall/membrane/envelope biogenesis
832	COG0769	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
833	COG0770	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
834	COG0771	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
835	COG0772		D	Cell cycle control, cell division, chromosome partitioning
836	COG0773	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
837	COG0774	Lipid A biosynthesis	M	Cell wall/membrane/envelope biogenesis
838	COG0775	Menaquinone biosynthesis	F	Nucleotide transport and metabolism
839	COG0775	Menaquinone biosynthesis	H	Coenzyme transport and metabolism
840	COG0776		L	Replication, recombination and repair
841	COG0777	Fatty acid biosynthesis	I	Lipid transport and metabolism
842	COG0778	Pyrimidine degradation	C	Energy production and conversion
843	COG0779		J	Translation, ribosomal structure and biogenesis
844	COG0780	tRNA modification	J	Translation, ribosomal structure and biogenesis
845	COG0781		K	Transcription
846	COG0782		K	Transcription
847	COG0783		P	Inorganic ion transport and metabolism
848	COG0783		V	Defense mechanisms
849	COG0784		T	Signal transduction mechanisms
850	COG0785		C	Energy production and conversion
851	COG0785		O	Posttranslational modification, protein turnover, chaperones
852	COG0786		E	Amino acid transport and metabolism
853	COG0787	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
854	COG0788	Purine biosynthesis	F	Nucleotide transport and metabolism
855	COG0789		K	Transcription
856	COG0790		R	General function prediction only
857	COG0791		M	Cell wall/membrane/envelope biogenesis
858	COG0792		L	Replication, recombination and repair
859	COG0793		O	Posttranslational modification, protein turnover, chaperones
860	COG0794		G	Carbohydrate transport and metabolism
861	COG0794		M	Cell wall/membrane/envelope biogenesis
862	COG0795		M	Cell wall/membrane/envelope biogenesis
863	COG0795		N	Cell motility
864	COG0796	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
865	COG0797		M	Cell wall/membrane/envelope biogenesis
866	COG0798		P	Inorganic ion transport and metabolism
867	COG0799		J	Translation, ribosomal structure and biogenesis
868	COG0800	Entner-Doudoroff pathway	G	Carbohydrate transport and metabolism
869	COG0801	Folate biosynthesis	H	Coenzyme transport and metabolism
870	COG0802	tRNA modification	J	Translation, ribosomal structure and biogenesis
871	COG0803		P	Inorganic ion transport and metabolism
872	COG0804		E	Amino acid transport and metabolism
873	COG0805		U	Intracellular trafficking, secretion, and vesicular transport
874	COG0806	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
875	COG0807	Riboflavin/FAD biosynthesis	H	Coenzyme transport and metabolism
876	COG0809	tRNA modification	J	Translation, ribosomal structure and biogenesis
877	COG0810		M	Cell wall/membrane/envelope biogenesis
878	COG0811		U	Intracellular trafficking, secretion, and vesicular transport
879	COG0812	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
880	COG0813	Purine salvage	F	Nucleotide transport and metabolism
881	COG0814		E	Amino acid transport and metabolism
882	COG0815		M	Cell wall/membrane/envelope biogenesis
883	COG0816		J	Translation, ribosomal structure and biogenesis
884	COG0816		L	Replication, recombination and repair
885	COG0816		K	Transcription
886	COG0817		L	Replication, recombination and repair
887	COG0818		I	Lipid transport and metabolism
888	COG0819		H	Coenzyme transport and metabolism
889	COG0820	23S rRNA modification	J	Translation, ribosomal structure and biogenesis
890	COG0821	Isoprenoid biosynthesis	I	Lipid transport and metabolism
891	COG0822		O	Posttranslational modification, protein turnover, chaperones
892	COG0823		U	Intracellular trafficking, secretion, and vesicular transport
893	COG0824	Menaquinone biosynthesis	I	Lipid transport and metabolism
894	COG0825	Fatty acid biosynthesis	I	Lipid transport and metabolism
895	COG0826	23S rRNA modification	J	Translation, ribosomal structure and biogenesis
896	COG0827		L	Replication, recombination and repair
897	COG0828	Ribosome 30S subunit	J	Translation, ribosomal structure and biogenesis
898	COG0829		O	Posttranslational modification, protein turnover, chaperones
899	COG0830		O	Posttranslational modification, protein turnover, chaperones
900	COG0831		E	Amino acid transport and metabolism
901	COG0832		E	Amino acid transport and metabolism
902	COG0833		E	Amino acid transport and metabolism
903	COG0834		E	Amino acid transport and metabolism
904	COG0834		T	Signal transduction mechanisms
905	COG0835		T	Signal transduction mechanisms
906	COG0836		M	Cell wall/membrane/envelope biogenesis
907	COG0837	Glycolysis	G	Carbohydrate transport and metabolism
908	COG0838	NADH dehydrogenase	C	Energy production and conversion
909	COG0839	NADH dehydrogenase	C	Energy production and conversion
910	COG0840		T	Signal transduction mechanisms
911	COG0841		V	Defense mechanisms
912	COG0842		V	Defense mechanisms
913	COG0843		C	Energy production and conversion
914	COG0845		M	Cell wall/membrane/envelope biogenesis
915	COG0845		V	Defense mechanisms
916	COG0846		O	Posttranslational modification, protein turnover, chaperones
917	COG0847		L	Replication, recombination and repair
918	COG0848		U	Intracellular trafficking, secretion, and vesicular transport
919	COG0849		D	Cell cycle control, cell division, chromosome partitioning
920	COG0850		D	Cell cycle control, cell division, chromosome partitioning
921	COG0851		D	Cell cycle control, cell division, chromosome partitioning
922	COG0852	NADH dehydrogenase	C	Energy production and conversion
923	COG0853	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
924	COG0854	Pyridoxal phosphate biosynthesis	H	Coenzyme transport and metabolism
925	COG0855		P	Inorganic ion transport and metabolism
926	COG0856		F	Nucleotide transport and metabolism
927	COG0857		R	General function prediction only
928	COG0858		J	Translation, ribosomal structure and biogenesis
929	COG0859		M	Cell wall/membrane/envelope biogenesis
930	COG0860		M	Cell wall/membrane/envelope biogenesis
931	COG0861		P	Inorganic ion transport and metabolism
932	COG0863		L	Replication, recombination and repair
933	COG0864		K	Transcription
934	COG1001		F	Nucleotide transport and metabolism
935	COG1002		V	Defense mechanisms
936	COG1003	Glycine cleavage	E	Amino acid transport and metabolism
937	COG1004		M	Cell wall/membrane/envelope biogenesis
938	COG1005	NADH dehydrogenase	C	Energy production and conversion
939	COG1006		P	Inorganic ion transport and metabolism
940	COG1007	NADH dehydrogenase	C	Energy production and conversion
941	COG1008	NADH dehydrogenase	C	Energy production and conversion
942	COG1009	NADH dehydrogenase	C	Energy production and conversion
943	COG1010	Cobalamine/B12 biosynthesis	H	Coenzyme transport and metabolism
944	COG1011		H	Coenzyme transport and metabolism
945	COG1012	Proline degradation	I	Lipid transport and metabolism
946	COG1013	Pyruvate oxidation	C	Energy production and conversion
947	COG1014	Pyruvate oxidation	C	Energy production and conversion
948	COG1015		G	Carbohydrate transport and metabolism
949	COG1017		C	Energy production and conversion
950	COG1018		C	Energy production and conversion
951	COG1019	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
952	COG1020		Q	Secondary metabolites biosynthesis, transport and catabolism
953	COG1021		Q	Secondary metabolites biosynthesis, transport and catabolism
954	COG1022		I	Lipid transport and metabolism
955	COG1023		G	Carbohydrate transport and metabolism
956	COG1024	Fatty acid biosynthesis	I	Lipid transport and metabolism
957	COG1025		O	Posttranslational modification, protein turnover, chaperones
958	COG1026		O	Posttranslational modification, protein turnover, chaperones
959	COG1027		E	Amino acid transport and metabolism
960	COG1028	Fatty acid biosynthesis	I	Lipid transport and metabolism
961	COG1029		C	Energy production and conversion
962	COG1030		O	Posttranslational modification, protein turnover, chaperones
963	COG1031		R	General function prediction only
964	COG1032		R	General function prediction only
965	COG1033		R	General function prediction only
966	COG1034	NADH dehydrogenase	C	Energy production and conversion
967	COG1035		C	Energy production and conversion
968	COG1036		C	Energy production and conversion
969	COG1038	Urea cycle	C	Energy production and conversion
970	COG1039		L	Replication, recombination and repair
971	COG1040		R	General function prediction only
972	COG1041	tRNA modification	J	Translation, ribosomal structure and biogenesis
973	COG1042		C	Energy production and conversion
974	COG1043	Lipid A biosynthesis	M	Cell wall/membrane/envelope biogenesis
975	COG1044	Lipid A biosynthesis	M	Cell wall/membrane/envelope biogenesis
976	COG1045	Cysteine biosynthesis	E	Amino acid transport and metabolism
977	COG1047		O	Posttranslational modification, protein turnover, chaperones
978	COG1048	Lysine biosynthesisTCA cycle	C	Energy production and conversion
979	COG1049	TCA cycle	C	Energy production and conversion
980	COG1051		F	Nucleotide transport and metabolism
981	COG1052	Pyridoxal phosphate biosynthesis	C	Energy production and conversion
982	COG1052	Pyridoxal phosphate biosynthesis	H	Coenzyme transport and metabolism
983	COG1052	Pyridoxal phosphate biosynthesis	R	General function prediction only
984	COG1053	TCA cycle	C	Energy production and conversion
985	COG1054		J	Translation, ribosomal structure and biogenesis
986	COG1055		P	Inorganic ion transport and metabolism
987	COG1056	NAD biosynthesis	H	Coenzyme transport and metabolism
988	COG1057	NAD biosynthesis	H	Coenzyme transport and metabolism
989	COG1058		L	Replication, recombination and repair
990	COG1059		L	Replication, recombination and repair
991	COG1059		V	Defense mechanisms
992	COG1060	Thiamine biosynthesis	H	Coenzyme transport and metabolism
993	COG1061		K	Transcription
994	COG1061		L	Replication, recombination and repair
995	COG1062		C	Energy production and conversion
996	COG1063	Non-phosphorylated Entner-Doudoroff pathway	E	Amino acid transport and metabolism
997	COG1063	Non-phosphorylated Entner-Doudoroff pathway	R	General function prediction only
998	COG1064		G	Carbohydrate transport and metabolism
999	COG1066		L	Replication, recombination and repair
1000	COG1067		O	Posttranslational modification, protein turnover, chaperones
1001	COG1069		G	Carbohydrate transport and metabolism
1002	COG1070	Non-phosphorylated Entner-Doudoroff pathway	G	Carbohydrate transport and metabolism
1003	COG1071	Pyruvate oxidation	C	Energy production and conversion
1004	COG1072	Pantothenate/CoA biosynthesis	H	Coenzyme transport and metabolism
1005	COG1073		T	Signal transduction mechanisms
1006	COG1074		L	Replication, recombination and repair
1007	COG1075		I	Lipid transport and metabolism
1008	COG1076		O	Posttranslational modification, protein turnover, chaperones
1009	COG1077		D	Cell cycle control, cell division, chromosome partitioning
1010	COG1077		Z	Cytoskeleton
1011	COG1078		R	General function prediction only
1012	COG1079		F	Nucleotide transport and metabolism
1013	COG1080		G	Carbohydrate transport and metabolism
1014	COG1082		G	Carbohydrate transport and metabolism
1015	COG1083		M	Cell wall/membrane/envelope biogenesis
1016	COG1084		R	General function prediction only
1017	COG1085		G	Carbohydrate transport and metabolism
1018	COG1086		M	Cell wall/membrane/envelope biogenesis
1019	COG1086		O	Posttranslational modification, protein turnover, chaperones
1020	COG1087		M	Cell wall/membrane/envelope biogenesis
1021	COG1088		M	Cell wall/membrane/envelope biogenesis
1022	COG1089		M	Cell wall/membrane/envelope biogenesis
1023	COG1090		R	General function prediction only
1024	COG1091		M	Cell wall/membrane/envelope biogenesis
1025	COG1092	23S rRNA modification	J	Translation, ribosomal structure and biogenesis
1026	COG1093	Translation factors	J	Translation, ribosomal structure and biogenesis
1027	COG1094		J	Translation, ribosomal structure and biogenesis
1028	COG1095	RNA polymerase	K	Transcription
1029	COG1096		U	Intracellular trafficking, secretion, and vesicular transport
1030	COG1097		U	Intracellular trafficking, secretion, and vesicular transport
1031	COG1098		R	General function prediction only
1032	COG1099		R	General function prediction only
1033	COG1100		R	General function prediction only
1034	COG1101		R	General function prediction only
1035	COG1102		F	Nucleotide transport and metabolism
1036	COG1103		J	Translation, ribosomal structure and biogenesis
1037	COG1104		E	Amino acid transport and metabolism
1038	COG1105		G	Carbohydrate transport and metabolism
1039	COG1106		R	General function prediction only
1040	COG1107		L	Replication, recombination and repair
1041	COG1108		P	Inorganic ion transport and metabolism
1042	COG1109		G	Carbohydrate transport and metabolism
1043	COG1110		L	Replication, recombination and repair
1044	COG1111		L	Replication, recombination and repair
1045	COG1112		L	Replication, recombination and repair
1046	COG1113		E	Amino acid transport and metabolism
1047	COG1114		E	Amino acid transport and metabolism
1048	COG1115		E	Amino acid transport and metabolism
1049	COG1116		P	Inorganic ion transport and metabolism
1050	COG1117		P	Inorganic ion transport and metabolism
1051	COG1118		P	Inorganic ion transport and metabolism
1052	COG1119		P	Inorganic ion transport and metabolism
1053	COG1120		P	Inorganic ion transport and metabolism
1054	COG1120		H	Coenzyme transport and metabolism
1055	COG1121		P	Inorganic ion transport and metabolism
1056	COG1122		P	Inorganic ion transport and metabolism
1057	COG1122		R	General function prediction only
1058	COG1123		O	Posttranslational modification, protein turnover, chaperones
1059	COG1124		E	Amino acid transport and metabolism
1060	COG1124		P	Inorganic ion transport and metabolism
1061	COG1125		E	Amino acid transport and metabolism
1062	COG1126		E	Amino acid transport and metabolism
1063	COG1127		M	Cell wall/membrane/envelope biogenesis
1064	COG1129		G	Carbohydrate transport and metabolism
1065	COG1131		V	Defense mechanisms
1066	COG1132		V	Defense mechanisms
1067	COG1133		V	Defense mechanisms
1068	COG1134		G	Carbohydrate transport and metabolism
1069	COG1135		E	Amino acid transport and metabolism
1070	COG1136		M	Cell wall/membrane/envelope biogenesis
1071	COG1137		M	Cell wall/membrane/envelope biogenesis
1072	COG1138		C	Energy production and conversion
1073	COG1138		O	Posttranslational modification, protein turnover, chaperones
1074	COG1139		C	Energy production and conversion
1075	COG1140		C	Energy production and conversion
1076	COG1140		P	Inorganic ion transport and metabolism
1077	COG1141		C	Energy production and conversion
1078	COG1142		C	Energy production and conversion
1079	COG1143	NADH dehydrogenase	C	Energy production and conversion
1080	COG1144	Pyruvate oxidation	C	Energy production and conversion
1081	COG1145		C	Energy production and conversion
1082	COG1146		F	Nucleotide transport and metabolism
1083	COG1148		C	Energy production and conversion
1084	COG1149		R	General function prediction only
1085	COG1150		C	Energy production and conversion
1086	COG1151		C	Energy production and conversion
1087	COG1152		C	Energy production and conversion
1088	COG1153		C	Energy production and conversion
1089	COG1154	Pyridoxal phosphate biosynthesis	H	Coenzyme transport and metabolism
1090	COG1154	Pyridoxal phosphate biosynthesis	I	Lipid transport and metabolism
1091	COG1155	A/V-type ATP synthase	C	Energy production and conversion
1092	COG1156	A/V-type ATP synthase	C	Energy production and conversion
1093	COG1157		N	Cell motility
1094	COG1157		U	Intracellular trafficking, secretion, and vesicular transport
1095	COG1158		K	Transcription
1096	COG1159		J	Translation, ribosomal structure and biogenesis
1097	COG1160		J	Translation, ribosomal structure and biogenesis
1098	COG1161		J	Translation, ribosomal structure and biogenesis
1099	COG1162		J	Translation, ribosomal structure and biogenesis
1100	COG1163		J	Translation, ribosomal structure and biogenesis
1101	COG1164		E	Amino acid transport and metabolism
1102	COG1165	Menaquinone biosynthesis	H	Coenzyme transport and metabolism
1103	COG1166		E	Amino acid transport and metabolism
1104	COG1167	Lysine biosynthesis	K	Transcription
1105	COG1167	Lysine biosynthesis	E	Amino acid transport and metabolism
1106	COG1168		E	Amino acid transport and metabolism
1107	COG1168		R	General function prediction only
1108	COG1169	Menaquinone biosynthesis	H	Coenzyme transport and metabolism
1109	COG1169	Menaquinone biosynthesis	Q	Secondary metabolites biosynthesis, transport and catabolism
1110	COG1171	Isoleucine, leucine, valine biosynthesis	E	Amino acid transport and metabolism
1111	COG1172		G	Carbohydrate transport and metabolism
1112	COG1173		E	Amino acid transport and metabolism
1113	COG1173		P	Inorganic ion transport and metabolism
1114	COG1174		E	Amino acid transport and metabolism
1115	COG1175		G	Carbohydrate transport and metabolism
1116	COG1176		E	Amino acid transport and metabolism
1117	COG1177		E	Amino acid transport and metabolism
1118	COG1178		P	Inorganic ion transport and metabolism
1119	COG1179	tRNA modification	J	Translation, ribosomal structure and biogenesis
1120	COG1180		O	Posttranslational modification, protein turnover, chaperones
1121	COG1181	Mureine biosynthesis	M	Cell wall/membrane/envelope biogenesis
1122	COG1181	Mureine biosynthesis	R	General function prediction only
1123	COG1182		C	Energy production and conversion
1124	COG1183		I	Lipid transport and metabolism
1125	COG1184	Translation factors	J	Translation, ribosomal structure and biogenesis
1126	COG1185		J	Translation, ribosomal structure and biogenesis
1127	COG1186	Translation factors	J	Translation, ribosomal structure and biogenesis
1128	COG1187	16S rRNA modification	J	Translation, ribosomal structure and biogenesis
1129	COG1188		J	Translation, ribosomal structure and biogenesis
1130	COG1189		J	Translation, ribosomal structure and biogenesis
1131	COG1190	Aminoacyl-tRNA synthetases	J	Translation, ribosomal structure and biogenesis
1132	COG1191	RNA polymerase	K	Transcription
1133	COG1192		D	Cell cycle control, cell division, chromosome partitioning
1134	COG1192		N	Cell motility
1135	COG1193		L	Replication, recombination and repair
1136	COG1194		L	Replication, recombination and repair
1137	COG1195		L	Replication, recombination and repair
1138	COG1196		D	Cell cycle control, cell division, chromosome partitioning
1139	COG1197		L	Replication, recombination and repair
1140	COG1197		K	Transcription
1141	COG1198		L	Replication, recombination and repair
1142	COG1199		L	Replication, recombination and repair
1143	COG1200		L	Replication, recombination and repair
1144	COG1201		L	Replication, recombination and repair
1145	COG1202		L	Replication, recombination and repair
1146	COG1203	CRISPR-Cas system	V	Defense mechanisms
1147	COG1204		L	Replication, recombination and repair
1148	COG1205		L	Replication, recombination and repair
1149	COG1206	tRNA modification	J	Translation, ribosomal structure and biogenesis
1150	COG1207		M	Cell wall/membrane/envelope biogenesis
1151	COG1208		J	Translation, ribosomal structure and biogenesis
1152	COG1208		M	Cell wall/membrane/envelope biogenesis
1153	COG1209		M	Cell wall/membrane/envelope biogenesis
1154	COG1210		M	Cell wall/membrane/envelope biogenesis
1155	COG1211	Isoprenoid biosynthesis	I	Lipid transport and metabolism
1156	COG1212	Lipid A biosynthesis	M	Cell wall/membrane/envelope biogenesis
1157	COG1213		I	Lipid transport and metabolism
1158	COG1214	tRNA modification	J	Translation, ribosomal structure and biogenesis
1159	COG1215		N	Cell motility
1160	COG1216		G	Carbohydrate transport and metabolism
1161	COG1217		T	Signal transduction mechanisms
1162	COG1218		P	Inorganic ion transport and metabolism
1163	COG1219		O	Posttranslational modification, protein turnover, chaperones
1164	COG1220		O	Posttranslational modification, protein turnover, chaperones
1165	COG1221		K	Transcription
1166	COG1221		T	Signal transduction mechanisms
1167	COG1222		O	Posttranslational modification, protein turnover, chaperones
1168	COG1223		R	General function prediction only
1169	COG1224		K	Transcription
1170	COG1225		O	Posttranslational modification, protein turnover, chaperones
1171	COG1226		P	Inorganic ion transport and metabolism
1172	COG1227		C	Energy production and conversion
1173	COG1228		Q	Secondary metabolites biosynthesis, transport and catabolism
1174	COG1229		C	Energy production and conversion
1175	COG1230		P	Inorganic ion transport and metabolism
1176	COG1231		E	Amino acid transport and metabolism
1177	COG1232	Heme biosynthesis	H	Coenzyme transport and metabolism
1178	COG1233		Q	Secondary metabolites biosynthesis, transport and catabolism
1179	COG1234		J	Translation, ribosomal structure and biogenesis
1180	COG1235		P	Inorganic ion transport and metabolism
1181	COG1236		J	Translation, ribosomal structure and biogenesis
1182	COG1237		R	General function prediction only
1183	COG1238		S	Function unknown
1184	COG1239		H	Coenzyme transport and metabolism
1185	COG1240		H	Coenzyme transport and metabolism
1186	COG1241		L	Replication, recombination and repair
1187	COG1242		R	General function prediction only
1188	COG1243		J	Translation, ribosomal structure and biogenesis
1189	COG1244		J	Translation, ribosomal structure and biogenesis
1190	COG1245		J	Translation, ribosomal structure and biogenesis
1191	COG1246	Arginine biosynthesis	E	Amino acid transport and metabolism
1192	COG1247		E	Amino acid transport and metabolism
1193	COG1249	Glycine cleavagePyruvate oxidation	C	Energy production and conversion
1194	COG1250	Fatty acid biosynthesis	I	Lipid transport and metabolism
1195	COG1251		C	Energy production and conversion
1196	COG1252		C	Energy production and conversion
1197	COG1253		R	General function prediction only
1198	COG1254		C	Energy production and conversion
1199	COG1255		R	General function prediction only
1200	COG1256		N	Cell motility
1201	COG1257	Isoprenoid biosynthesis	I	Lipid transport and metabolism
1202	COG1258	tRNA modification	J	Translation, ribosomal structure and biogenesis
1203	COG1259		R	General function prediction only
1204	COG1260		I	Lipid transport and metabolism
1205	COG1261		N	Cell motility
1206	COG1262		O	Posttranslational modification, protein turnover, chaperones
1207	COG1263		G	Carbohydrate transport and metabolism
1208	COG1264		G	Carbohydrate transport and metabolism
1209	COG1266		O	Posttranslational modification, protein turnover, chaperones
1210	COG1267	Phospholipid biosynthesis	I	Lipid transport and metabolism
1211	COG1268		H	Coenzyme transport and metabolism
1212	COG1269	A/V-type ATP synthase	C	Energy production and conversion
1213	COG1270	Cobalamine/B12 biosynthesis	H	Coenzyme transport and metabolism
1214	COG1271		C	Energy production and conversion
1215	COG1272		U	Intracellular trafficking, secretion, and vesicular transport
1216	COG1273		L	Replication, recombination and repair
1217	COG1274	Gluconeogenesis	C	Energy production and conversion
1218	COG1275		V	Defense mechanisms
1219	COG1276		P	Inorganic ion transport and metabolism
1220	COG1277		O	Posttranslational modification, protein turnover, chaperones
1221	COG1278		K	Transcription
1222	COG1279		E	Amino acid transport and metabolism
1223	COG1280		E	Amino acid transport and metabolism
1224	COG1281		O	Posttranslational modification, protein turnover, chaperones
1225	COG1282		C	Energy production and conversion
1226	COG1283		P	Inorganic ion transport and metabolism
1227	COG1284		S	Function unknown
1228	COG1285		P	Inorganic ion transport and metabolism
1229	COG1286		F	Nucleotide transport and metabolism
1230	COG1286		M	Cell wall/membrane/envelope biogenesis
1231	COG1287		O	Posttranslational modification, protein turnover, chaperones
1232	COG1288		R	General function prediction only
